Weg;WEGE3;4.9
Lojas Renner;LREN3;4.8
IRB Brasil;IRBR3;4.7
Engie;EGIE3;4.7
B3;B3SA3;4.6
Porto Seguro;PSSA3;4.6
Fleury;FLRY3;4.5
Energias do Brasil;ENBR3;4.4
RaiaDrogasil;RADL3;4.4
Arezzo;ARZZ3;4.3
Odontoprev;ODPV3;4.3
Grendene;GRND3;4.3
Hypera Pharma;HYPE3;4.3
Hapvida;HAPV3;4.2
M.Dias Branco;MDIA3;4.2
Localiza;RENT3;4.1
Magazine Luiza;MGLU3;4.1
Linx;LINX3;4.0
NotreDame Intermédica;GNDI3;3.9
YDUQS;YDUQ3;3.8
Banco do Brasil;BBAS3;3.8
Trisul;TRIS3;3.7
Mahle Metal Leve;LEVE3;3.7
Equatorial;EQTL3;3.7
Hermes Pardini;PARD3;3.6
Movida;MOVI3;3.6
Locamérica;LCAM3;3.6
Kroton;KROT3;3.6
Cielo;CIEL3;3.6
Eztec;EZTC3;3.5
WIZ Soluções;WIZS3;3.5
CVC;CVCB3;3.5
Camil;CAML3;3.5
Cia Hering;HGTX3;3.4
Qualicorp;QUAL3;3.4
MRV Engenharia;MRVE3;3.4
Cosan;CSAN3;3.4
BR Distribuidora;BRDT3;3.4
Vivara;VIVA3;3.3
SLC Agrícola;SLCE3;3.3
Ultrapar;UGPA3;3.3
Petrorio;PRIO3;3.2
SER Educacional;SEER3;3.2
Rumo Log;RAIL3;3.2
Sabesp;SBSP3;3.2
Iguatemi;IGTA3;3.1
Enauta;ENAT3;3.1
Vulcabras;VULC3;3.1
Carrefour;CRFB3;3.1
Tupy;TUPY3;3.0
Sierra Brasil;ALSO3;2.9
São Martinho;SMTO3;2.9
Cosan Logística;RLOG3;2.9
Tegma;TGMA3;2.8
Copasa;CSMG3;2.8
Iochpe-Maxion;MYPK3;2.8
TIM;TIMP3;2.8
NEOENERGIA;NEOE3;2.8
Vale;VALE3;2.8
BrasilAgro;AGRO3;2.7
BR Malls;BRML3;2.7
Tenda;TEND3;2.7
Valid;VLID3;2.7
Totvs;TOTS3;2.7
Natura;NATU3;2.7
Smiles;SMLS3;2.6
Alliar;AALR3;2.6
Burger King;BKBR3;2.6
CPFL Energia;CPFE3;2.6
JHSF;JHSF3;2.5
Santos Brasil;STBP3;2.5
CSU Cardsystem;CARD3;2.4
Indústrias Romi;ROMI3;2.4
Centauro;CNTO3;2.4
Eneva;ENEV3;2.4
Ecorodovias;ECOR3;2.4
Cyrela Realty;CYRE3;2.3
Duratex;DTEX3;2.3
Suzano Papel;SUZB3;2.3
Embraer;EMBR3;2.3
Portobello;PTBL3;2.2
JSL;JSLG3;2.2
CCR;CCRO3;2.2
Omega Geração;OMGE3;2.1
Marfrig;MRFG3;2.1
RNI;RDNI3;2.0
Ouro Fino;OFSA3;2.0
Time For Fun;SHOW3;2.0
Technos;TECN3;1.9
Le Lis Blanc;LLIS3;1.9
JBS;JBSS3;1.9
Unicasa;UCAS3;1.8
Direcional;DIRR3;1.8
Springs Global;SGPS3;1.8
International Meal;MEAL3;1.8
Via Varejo;VVAR3;1.8
São Carlos;SCAR3;1.7
CPFL Renováveis;CPRE3;1.7
Eletropaulo;ELPL3;1.7
Cyrela Commercial;CCPR3;1.6
Log-in;LOGN3;1.6
Even;EVEN3;1.6
C&A;CEAB3;1.6
Anima;ANIM3;1.5
Profarma;PFRM3;1.5
Lojas Marisa;AMAR3;1.4
Heringer;FHER3;1.4
Paranapanema;PMAM3;1.4
Mills;MILS3;1.3
BRProperties;BRPR3;1.3
Positivo;POSI3;1.3
B2W Digital;BTOW3;1.3
Light;LIGT3;1.3
General Shopping;GSHP3;1.2
BRF;BRFS3;1.2
Rossi;RSID3;1.0
Tecnisa;TCSA3;1.0
PDG Realty;PDGR3;1.0
Eternit;ETER3;1.0
Helbor;HBOR3;1.0
Gafisa;GFSA3;1.0
Terra Santa;TESA3;1.0
Metalfrio;FRIO3;1.0
Liq;LIQO3;1.0
Biosev;BSEV3;1.0
Minerva;BEEF3;1.0
