Weg;WEGE3;4.9
Lojas Renner;LREN3;4.8
IRB Brasil;IRBR3;4.7
Engie;EGIE3;4.7
Porto Seguro;PSSA3;4.7
B3;B3SA3;4.6
Banco Bradesco;BBDC3;4.6
Fleury;FLRY3;4.5
Grendene;GRND3;4.4
Energias do Brasil;ENBR3;4.4
Arezzo;ARZZ3;4.3
Odontoprev;ODPV3;4.3
RaiaDrogasil;RADL3;4.3
Hypera Pharma;HYPE3;4.2
Hapvida;HAPV3;4.2
Taesa;TAEE3;4.1
Sanepar;SAPR3;4.1
M.Dias Branco;MDIA3;4.1
NotreDame Intermédica;GNDI3;4.1
Magazine Luiza;MGLU3;4.1
Multiplan;MULT3;4.0
Localiza;RENT3;4.0
YDUQS;YDUQ3;3.9
Hermes Pardini;PARD3;3.8
Banco do Brasil;BBAS3;3.8
Linx;LINX3;3.7
Equatorial;EQTL3;3.7
Eztec;EZTC3;3.6
Qualicorp;QUAL3;3.6
Movida;MOVI3;3.6
Mahle Metal Leve;LEVE3;3.6
Locamérica;LCAM3;3.6
WIZ Soluções;WIZS3;3.5
Cia Hering;HGTX3;3.5
Cosan;CSAN3;3.5
Santander;SANB3;3.5
Trisul;TRIS3;3.4
Camil;CAML3;3.4
Cielo;CIEL3;3.4
Sabesp;SBSP3;3.4
Sulamerica;SULA3;3.4
BR Distribuidora;BRDT3;3.4
Vivara;VIVA3;3.3
Alupar;ALUP3;3.3
MRV Engenharia;MRVE3;3.3
Banco Inter;BIDI3;3.2
CVC;CVCB3;3.2
Cogna;COGN3;3.2
Ultrapar;UGPA3;3.2
Iguatemi;IGTA3;3.1
Vulcabras;VULC3;3.1
Tenda;TEND3;3.1
SLC Agrícola;SLCE3;3.1
Copasa;CSMG3;3.1
Enauta;ENAT3;3.0
Petrorio;PRIO3;3.0
SER Educacional;SEER3;3.0
Rumo Log;RAIL3;3.0
Iochpe-Maxion;MYPK3;3.0
Fras-le;FRAS3;2.9
Valid;VLID3;2.9
Centauro;CNTO3;2.9
Totvs;TOTS3;2.9
São Martinho;SMTO3;2.9
Marcopolo;POMO3;2.9
Tupy;TUPY3;2.9
Cosan Logística;RLOG3;2.9
Banco BTG Pactual;BPAC3;2.9
Klabin;KLBN3;2.9
TIM;TIMP3;2.9
Carrefour;CRFB3;2.9
Grazziotin;CGRA3;2.8
Tegma;TGMA3;2.8
Natura;NATU3;2.8
NEOENERGIA;NEOE3;2.8
Vale;VALE3;2.8
CSU Cardsystem;CARD3;2.7
Santos Brasil;STBP3;2.7
Smiles;SMLS3;2.7
AES Tietê;TIET3;2.7
CPFL Energia;CPFE3;2.7
Sierra Brasil;ALSO3;2.6
Indústrias Romi;ROMI3;2.6
Alliar;AALR3;2.6
Energisa;ENGI3;2.6
JHSF;JHSF3;2.5
BrasilAgro;AGRO3;2.5
BR Malls;BRML3;2.5
Duratex;DTEX3;2.5
Petrobras;PETR3;2.5
Ecorodovias;ECOR3;2.4
Portobello;PTBL3;2.3
Burger King;BKBR3;2.3
Eneva;ENEV3;2.3
Cyrela Realty;CYRE3;2.3
JSL;JSLG3;2.3
Lojas Americanas;LAME3;2.3
Metalúrgica Gerdau;GOAU3;2.3
Banestes;BEES3;2.2
Suzano Papel;SUZB3;2.2
Marfrig;MRFG3;2.2
Ouro Fino;OFSA3;2.1
Omega Geração;OMGE3;2.1
Springs Global;SGPS3;2.1
Banco BMG;BMGB11;2.1
CCR;CCRO3;2.1
Embraer;EMBR3;2.1
Time For Fun;SHOW3;2.0
JBS;JBSS3;1.9
Cyrela Commercial;CCPR3;1.8
Helbor;HBOR3;1.8
Via Varejo;VVAR3;1.8
São Carlos;SCAR3;1.7
Jereissati;JPSA3;1.7
Direcional;DIRR3;1.7
Le Lis Blanc;LLIS3;1.7
Kepler;KEPL3;1.6
Log-in;LOGN3;1.6
Even;EVEN3;1.6
Eletropaulo;ELPL3;1.6
International Meal;MEAL3;1.5
Positivo;POSI3;1.5
Celesc;CLSC3;1.5
Anima;ANIM3;1.4
Lojas Marisa;AMAR3;1.4
Heringer;FHER3;1.4
Paranapanema;PMAM3;1.4
BRF;BRFS3;1.4
Profarma;PFRM3;1.3
B2W Digital;BTOW3;1.3
Oi;OIBR3;1.3
BRProperties;BRPR3;1.2
Eternit;ETER3;1.2
Taurus Armas;TASA3;1.2
Celulose Irani;RANI3;1.2
Light;LIGT3;1.2
Saraiva;SLED3;1.1
Mundial;MNDL3;1.0
Dommo;DMMO3;1.0
Banese;BGIP3;1.0
Renova;RNEW3;1.0
Gafisa;GFSA3;1.0
Terra Santa;TESA3;1.0
Metalfrio;FRIO3;1.0
Liq;LIQO3;1.0
Biosev;BSEV3;1.0
Minerva;BEEF3;1.0
